Draganovo,43.2228,25.7468,Bulgaria,BG,Veliko Tarnovo,,2412,2405
Kilifarevo,42.9833,25.6333,Bulgaria,BG,Veliko Tarnovo,,2374,2323
Ognyanovo,42.1475,24.4139,Bulgaria,BG,Pazardzhik,,2372,2368
Valkosel,41.5290,23.9894,Bulgaria,BG,Blagoevgrad,,2358,2350
Rakovski,43.6011,26.4641,Bulgaria,BG,Razgrad,,2332,2332
Glavinitsa,42.1574,24.3088,Bulgaria,BG,Pazardzhik,,2253,2243
Bregovo,44.1500,22.6500,Bulgaria,BG,Vidin,minor,2231,2180
Svetovrachane,42.7819,23.3838,Bulgaria,BG,Sofia-Grad,,2205,2205
Aheloy,42.6489,27.6481,Bulgaria,BG,Burgas,,2162,2162
Krushare,42.5629,26.3822,Bulgaria,BG,Sliven,,2150,2140
Startsevo,41.4269,25.0568,Bulgaria,BG,Smolyan,,2121,2094
Gradina,42.1472,25.2080,Bulgaria,BG,Plovdiv,,2106,2106
Obzor,42.8167,27.8833,Bulgaria,BG,Burgas,,2094,2094
Batanovtsi,42.6000,22.9500,Bulgaria,BG,Pernik,,2084,2084
Tsaratsovo,42.2027,24.6875,Bulgaria,BG,Plovdiv,,2069,2038
Borovo,43.5000,25.8000,Bulgaria,BG,Ruse,minor,2031,1992
Voyvodinovo,42.1999,24.7942,Bulgaria,BG,Plovdiv,,2021,2000
Chernogorovo,42.2720,24.4011,Bulgaria,BG,Pazardzhik,,1931,1913
Balgarovo,42.6167,27.3000,Bulgaria,BG,Burgas,,1928,1921
Petarch,42.8437,23.1480,Bulgaria,BG,Sofia,,1914,1914
Kokalyane,42.5833,23.4167,Bulgaria,BG,Sofia-Grad,,1864,1854
Dragichevo,42.6043,23.1391,Bulgaria,BG,Sofia-Grad,,1837,1837
Yahinovo,42.2888,23.1423,Bulgaria,BG,Kyustendil,,1823,1798
Ostrovo,43.6853,26.6070,Bulgaria,BG,Razgrad,,1820,1809
Mokrishte,42.1765,24.2936,Bulgaria,BG,Pazardzhik,,1815,1802
Kraynitsi,42.3199,23.2012,Bulgaria,BG,Kyustendil,,1797,1777
Kostievo,42.1790,24.6235,Bulgaria,BG,Plovdiv,,1789,1789
Resen,43.1958,25.5591,Bulgaria,BG,Veliko Tarnovo,,1777,1751
Aleksandrovo,43.2631,24.9403,Bulgaria,BG,Lovech,,1777,1774
Sinitovo,42.1480,24.3765,Bulgaria,BG,Pazardzhik,,1768,1768
Ezerovo,43.2018,27.7671,Bulgaria,BG,Varna,,1760,1760
Graf Ignatievo,42.2818,24.7329,Bulgaria,BG,Plovdiv,,1728,1728
Seliminovo,42.6434,26.1526,Bulgaria,BG,Sliven,,1722,1722
